,year_month,volume,product,uf,unit,create_at
1,2014-01,3344338.075,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
2,2015-01,3242226.463,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
3,2016-01,2578244.912,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
4,2017-01,2447012.071,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
5,2018-01,2446424.886,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
6,2019-01,2366766.661,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
7,2020-01,2066964.544,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
8,2013-02,1793893.378,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
9,2014-02,3452817.055,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
10,2015-02,2789923.454,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
11,2016-02,2836593.653,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
12,2017-02,2554123.186,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
13,2018-02,2505898.416,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
14,2019-02,2359969.529,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
15,2020-02,2137312.017,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
16,2013-03,1952134.707,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
17,2014-03,3554515.781,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
18,2015-03,3485400.08,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
19,2016-03,3153373.144,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
20,2017-03,3103093.593,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
21,2018-03,2932103.114,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
22,2019-03,2457153.744,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
23,2020-03,2285100.13,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
24,2013-04,2038654.144,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
25,2014-04,3568808.51,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
26,2015-04,3241286.132,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
27,2016-04,3033967.613,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
28,2017-04,2597477.484,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
29,2018-04,2778495.629,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
30,2019-04,2467604.687,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
31,2020-04,1957534.126,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
32,2013-05,2012037.117,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
33,2014-05,3712485.973,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
